dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea
Portland-Auburn ME,500,44,6,17,39,21,31,14
New York NY,501,47,6,13,38,16,33,12
Binghamton NY,502,48,3,16,50,12,37,24
Macon GA,503,44,14,14,37,19,49,14
Philadelphia PA,504,52,7,16,41,23,36,14
Detroit MI,505,47,6,16,45,14,31,15
Boston MA-Manchester NH,506,48,6,15,38,25,34,14
Savannah GA,507,43,11,17,37,28,43,10
Pittsburgh PA,508,51,10,17,50,23,34,16
Ft. Wayne IN,509,42,4,14,50,15,25,15
Cleveland-Akron (Canton) OH,510,42,6,16,44,18,26,14
Washington DC (Hagerstown MD),511,47,5,15,33,15,46,11
Baltimore MD,512,51,9,18,44,18,44,16
Flint-Saginaw-Bay City MI,513,43,8,17,50,12,34,19
Buffalo NY,514,49,5,20,49,18,25,16
Cincinnati OH,515,45,6,18,43,17,25,15
Erie PA,516,53,14,17,50,25,43,8
Charlotte NC,517,43,7,16,39,21,29,16
Greensboro-High Point-Winston Salem NC,518,47,10,15,45,24,29,13
Charleston SC,519,55,14,20,42,16,23,15
Augusta GA,520,48,12,26,39,18,24,14
Providence RI-New Bedford MA,521,43,3,16,45,20,36,17
Columbus GA,522,41,7,17,46,25,33,14
Burlington VT-Plattsburgh NY,523,49,6,14,53,21,44,10
Atlanta GA,524,42,6,15,35,19,36,13
